,Date,original_stage,discharge_corrected,tidal value,Flow (CFS),StormSurge,y
1456,1994-06-15,5.04,0.39160158,1.264003691,403000.0,0.0878111019972098,-0.8724021110000001
1457,1994-06-16,4.98,0.328698946,1.227546192,408000.0,-0.0737876899789437,-0.8988472459999999
1458,1994-06-17,5.2,0.49718618,1.207987434,410000.0,0.303648747514676,-0.7108012540000002
1459,1994-06-18,5.24,0.472101187,1.241289674,407000.0,0.134536051345611,-0.7691884869999999
1460,1994-06-19,5.38,0.665953092,1.281134761,401000.0,0.28151394139456,-0.6151816689999999
1461,1994-06-20,5.46,0.837924458,1.29940442,392000.0,0.286018025540463,-0.46147996199999985
1462,1994-06-21,5.16,0.675522431,1.276636865,380000.0,0.074364388849354,-0.601114434
1463,1994-06-22,4.79,0.427474305,1.218910975,368000.0,0.0979834259307987,-0.79143667
1464,1994-07-31,4.15,-0.226032738,0.894276329,382000.0,0.0429627504165003,-1.120309067
1465,1994-08-01,4.58,0.261939455,0.865110753,378000.0,-0.0255633153156687,-0.6031712979999999
1466,1994-08-02,4.71,0.453528271,0.875606248,373000.0,0.447024509962016,-0.422077977
1467,1994-08-03,4.84,0.632988441,0.914493236,365000.0,0.336483091005076,-0.28150479500000003
1468,1994-08-04,4.58,0.496260132,0.957082804,354000.0,0.049121657095156,-0.460822672
1469,1994-08-05,4.4,0.480496802,0.988210233,343000.0,-0.0191070955985166,-0.507713431
1470,1994-08-06,4.37,0.62475304,0.997527905,337000.0,0.0556524791635986,-0.372774865
1471,1994-08-07,4.19,0.533096207,0.995628434,335000.0,-0.0268385026491754,-0.46253222699999996
1472,1994-08-08,4.26,0.586895911,0.996329906,334000.0,0.0676389530455802,-0.409433995
1473,1994-08-09,4.18,0.535008204,0.997115655,327000.0,0.229290701959403,-0.46210745099999995
1474,1994-08-10,3.92,0.464784872,0.978134916,321000.0,0.177813358023597,-0.5133500440000001
1475,1994-08-11,3.96,0.609583581,0.944888606,310000.0,0.22660968944351,-0.33530502500000003
1476,1994-08-12,3.98,0.805746793,1.052332062,300000.0,0.277587209321975,-0.2465852690000001
1477,1994-08-13,4.08,1.046769989,1.171076189,291000.0,0.373211575681638,-0.12430620000000014
1478,1994-08-14,4.14,1.234658178,1.267986813,284000.0,0.396203687745847,-0.03332863499999994
1479,1994-08-15,4.23,1.423460058,1.326441323,273000.0,0.506331768210921,0.09701873500000002
1480,1994-08-16,4.13,1.482047617,1.335299964,268000.0,0.332095619189485,0.14674765300000003
1481,1994-08-17,3.99,1.408164795,1.315193172,265000.0,0.24264034505104,0.09297162299999995
1482,1994-08-18,3.76,1.224418512,1.282388569,259000.0,0.100240255226197,-0.05797005700000013
1483,1994-08-19,3.55,1.09750144,1.244845991,247000.0,-0.0480686394116296,-0.147344551
1484,1994-08-20,3.48,1.203837477,1.20007034,226000.0,0.0342203123041349,0.003767137000000087
1485,1994-08-21,3.14,1.180005454,1.147629684,208000.0,0.0321764966750646,0.032375770000000026
1486,1994-08-22,2.88,1.195458891,1.090582424,205000.0,0.0338693788871638,0.10487646699999997
1487,1994-08-23,2.76,1.120072916,1.033517604,212000.0,0.0040351748929247,0.086555312
1488,1994-08-24,2.7,1.005842281,1.032007443,215000.0,-0.0440621960545942,-0.026165161999999853
1489,1994-08-25,2.93,1.16674654,1.080385902,238000.0,0.0562239082253897,0.08636063800000016
1490,1994-08-26,3.06,0.976601135,1.099615847,250000.0,0.234857251033153,-0.12301471199999992
1491,1994-08-27,3.23,0.954891193,1.099179228,259000.0,0.226166133893697,-0.14428803499999987
1492,1994-08-28,3.46,1.057695895,1.08929611,265000.0,0.288549580937271,-0.0316002150000001
1493,1994-08-29,3.57,1.057094699,1.081156821,275000.0,0.211906584123792,-0.024062121999999908
1494,1994-08-30,3.76,1.092472955,1.081199106,289000.0,0.0976830129998584,0.011273849000000169
1495,1994-08-31,3.86,0.978989508,1.083003222,295000.0,-0.0473520557372008,-0.10401371400000015
1496,1994-09-01,3.94,0.95675795,1.073188373,298000.0,-0.146839087022157,-0.11643042300000006
1497,1994-09-02,3.84,0.798150498,1.048656242,294000.0,-0.320065300900535,-0.25050574400000003
1498,1994-09-03,3.8,0.819480316,1.02706541,294000.0,-0.322434340334503,-0.20758509400000003
1499,1994-09-04,3.84,0.838252569,1.006177258,286000.0,-0.302536978216725,-0.1679246889999999
1500,1994-09-05,3.64,0.751701304,0.990417042,278000.0,-0.133998339297595,-0.238715738
1501,1994-09-06,3.49,0.801142787,0.974876296,269000.0,-0.0350440383246118,-0.17373350900000006
1502,1994-09-07,3.38,0.829012,0.967436431,259000.0,-0.0480039338338527,-0.13842443100000001
1503,1994-09-08,3.38,0.980328194,0.997179386,252000.0,-0.0109433713538512,-0.01685119199999996
1504,1994-09-09,3.46,1.16252039,1.073023172,249000.0,0.242818361243475,0.08949721799999999
1505,1994-09-10,3.56,1.308180781,1.175205055,247000.0,0.17944687208689,0.13297572599999996
1506,1994-09-11,3.55,1.328560543,1.250296745,244000.0,0.164855869064437,0.07826379800000005
1507,1994-09-12,3.53,1.345528982,1.286911956,240000.0,0.134880192564783,0.05861702600000007
1508,1994-09-13,3.65,1.521524083,1.288911986,238000.0,0.410066395472592,0.23261209700000007
1509,1994-09-14,3.71,1.612020638,1.274798886,231000.0,0.527715560636754,0.33722175200000004
1510,1994-09-15,4.3,2.308472387,1.270913948,224000.0,0.903810035861679,1.037558439
1511,1994-09-16,3.9,2.009741896,1.263376424,224000.0,1.07456584698545,0.7463654719999999
1512,1994-09-17,3.34,1.436381384,1.242958855,222000.0,0.457556242650132,0.193422529
1513,1994-09-18,2.88,0.992926529,1.202359578,220000.0,0.0028169802014827,-0.20943304900000004
1514,1994-09-19,2.68,0.823834696,1.147403031,215000.0,-0.133444095204634,-0.32356833500000004
1515,1994-09-20,3.03,1.268654779,1.180196487,213000.0,-0.0794812880154821,0.0884582920000001
1516,1994-09-21,3.23,1.521886503,1.234826713,207000.0,0.163220513451078,0.28705979000000004
1517,1994-09-22,3.06,1.438041069,1.270046304,206000.0,0.265347622900591,0.167994765
1518,1994-09-23,3.02,1.417985246,1.288686994,203000.0,0.227749103855892,0.1292982519999999
1519,1994-09-24,2.98,1.426660453,1.296814438,199000.0,0.108062535528546,0.12984601500000004
1520,1994-09-25,2.79,1.297117632,1.304840792,195000.0,-0.138908513655259,-0.007723160000000062
1521,1994-09-26,2.83,1.395259113,1.315856496,190000.0,-0.171337187385378,0.07940261699999995
1522,1994-09-27,2.79,1.430787928,1.320410138,186000.0,-0.205045307542534,0.11037779000000003
1523,1994-09-28,2.51,1.211217749,1.316926632,185000.0,-0.306779839305276,-0.10570888299999992
1524,1994-09-29,2.62,1.33123923,1.283188173,186000.0,-0.111249153847943,0.0480510569999999
1525,1994-09-30,2.86,1.545249905,1.218366257,187000.0,0.122568732977743,0.3268836479999999
1526,1994-10-01,3.9,2.543062311,1.125900149,187000.0,1.10154044489478,1.417162162
1527,1994-10-02,3.88,2.539813832,1.04529661,186000.0,1.01567963571693,1.494517222
1528,1994-10-03,3.2,1.89953659,1.018674192,190000.0,0.740906726591033,0.8808623980000001
1529,1994-10-04,2.9,1.496070607,1.014542404,195000.0,0.0352018128813181,0.4815282030000001
1530,1994-10-05,2.8,1.356816699,1.053307482,200000.0,-0.0053418226916379,0.303509217
1531,1994-10-06,2.87,1.350948782,1.07731594,205000.0,-0.0184663236603625,0.2736328419999998
1532,1994-10-07,2.96,1.372695999,1.12579252,208000.0,-0.0945142709937167,0.24690347899999998
1533,1994-10-08,3.24,1.610821446,1.177781898,207000.0,0.0567547602623938,0.433039548
1534,1994-10-09,3.42,1.80273589,1.206136735,212000.0,0.402798216841905,0.5965991549999998
1535,1994-10-10,3.32,1.628327034,1.20304471,214000.0,0.0163840059972586,0.4252823240000001
1536,1994-10-11,3.27,1.54164753,1.168547167,216000.0,-0.0500040083290794,0.37310036300000005
1537,1994-10-12,3.49,1.738423402,1.128796614,228000.0,0.0219022206117703,0.6096267879999999
1538,1994-10-13,3.25,1.300111189,1.123964346,236000.0,-0.0395831978087135,0.17614684299999994
1539,1994-10-14,3.0,0.929539103,1.150275486,242000.0,-0.170176178715252,-0.22073638299999998
1540,1994-10-15,2.92,0.758337717,1.149652589,240000.0,-0.0448788246833469,-0.39131487200000004
1541,1994-10-16,3.08,0.915335891,1.195275718,230000.0,0.129504611412425,-0.279939827
1542,1994-10-17,3.15,1.16135794,1.245206015,223000.0,0.352940556077797,-0.08384807499999991
1543,1994-10-18,3.16,1.293892167,1.276190492,228000.0,0.364022193441099,0.017701675000000083
1544,1994-10-19,3.38,1.422402503,1.291188454,246000.0,0.489085543431752,0.131214049
1545,1994-10-20,3.42,1.205398276,1.305544889,252000.0,0.291413504429048,-0.10014661300000016
1546,1994-10-21,3.5,1.205511386,1.303455241,254000.0,0.289308024692514,-0.09794385500000002
